RN#,RANK,MOS,BDE,UNIT,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,L/N 3,BUDDY RUN,12 MILE,12 MILE RETEST,ORDER 1,PATROL 1,ORDER 2,PATROL 2,ADMIN
,,,,,,,,,,,,,,,,,,,,,,
1,SPC,11B,4TH,C 3-89 CAV,GO,N/A,67,67,37:37:00,6,GO,TIME,5-Jan,5-Jan,,2:58,,,,,,L/N FAIL
2,SGT,42A,1ST,2-87 IN,GO,N/A,60,67,38:35:00,6,NOGO,0/5,0/5,0/5,,NOGO,,,,,,"CWSA, L/N FAIL"
3,PFC,13D,2ND,2-15 FA,GO,N/A,59,66,35:10:00,6,GO,5-Jan,5-Feb,5-Feb,,2:57,,,,,,L/N FAIL
5,PFC,11B,2ND,B 2-14 IN,NOGO,NOGO,50,69,41:40:00,6,GO,5-Apr,0/5,5-Feb,,2:59,,,,,,RPFT RETEST: 55/70/39:20/6
9,SGT,92Y,2ND,C 2-14 IN,GO,N/A,71,66,37:46:00,6,GO,TIME,5-Apr,5-Feb,,2:58,,,,,,
10,2LT ,13A,2ND,B 2-15 FA,NOGO,NOGO,54,68,36:24:00,6,GO,5-Apr,0/5,5-Apr,,NOGO,,,,,,RPFT RETEST: 52/65/37:07/6
13,SPC,94A,1ST,B 10 BSB,NOGO,GO,64,56,37:15:00,6,GO,5-Apr,5-Feb,5-Mar,,NOGO,,,,,,RPFT RETEST: 65/71/37:57/6
15,PFC,11B,2ND,B 2-14 IN,NOGO,NOGO,37,69,39:29:00,6,GO,5-Jan,5-Mar,5-Apr,,2:58,,,,,,RPFT RETEST: 40/72/35:29/6
18,SPC,11B,1ST,B 2-22 IN,GO,N/A,64,78,38:25:00,6,NOGO,TIME,0/5,TIME,,NOGO,,,,,,"CWSA, L/N FAIL"
19,SPC,11B,1ST,1-87 IN,GO,N/A,58,74,39:15:00,6,GO,5-Feb,5-Mar,5-Mar,,2:58,,,,,,L/N FAIL
20,SPC,11B,1ST,B 1-32 IN,NOGO,GO,56,67,35:59:00,6,GO,0/5,0/5,0/5,,2:57,,,,,,RPFT RETEST: 61/65/34:45/6
21,2LT,70B,1ST,2-87 IN,GO,N/A,62,80,35:38:00,6,GO,5-Apr,0/5,5-Feb,,2:57,,,,,,
23,SPC,11B,2ND,C 2-14 IN,GO,N/A,64,73,37:59:00,6,GO,0/5,5-Apr,5-Mar,,2:58,,,,,,
