RN#,RANK,MOS,BDE,UNIT,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,L/N 3,BUDDY RUN,12 MILE,12 MILE RETEST,ORDER 1,PATROL 1,ORDER 2,PATROL 2,ADMIN,UNIT CONTACTE,MISSINIG PAPERWOEK
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
7,PFC,11B, 4/10,2-30INF D Co.,NOGO,GO,50/61,71/75,37:09/36:12,GO,GO,5-May,5-May,5-May,,2:56:13,NA,,,,,,,Physical
8,1LT,11A ,2BCT,2-87 B Co.,NOGO,GO,54/59,72/74,36:40/35:52,GO,GO,5-May,5-May,5-May,,2:40:07,NA,,,,,,,"Sponsorsheet, Course Enrollment"
9,SPC,13B, 4/10,5-25FA,GO,NA,64,76,12:08,GO,GO,5-May,5-May,5-Apr,,2:55:09,NA,,,,,,,
13,1LT,11A ,2BCT,1-89 CAV A TRP,NOGO,GO,48/57,70/76,35:39/36:09,GO,GO,5-May,5-May,5-May,,2:57:25,NA,,,,,,,
17,CPT,13A, 4/10,3-89 CAV,GO,NA,64,69,12:16,GO,GO,5-May,5-May,5-May,,NOGO,2:53:50,,,,,,,
19,PFC,11B,2BCT,4-31 HHC,GO,NA,57,76,9:45,GO,GO,5-May,5-May,5-Apr,,2:55:10,NA,,,,,,,Memo
23,SGT,68P,MEDDAC,MED Co.,GO,NA,58,74,12:14,GO,GO,5-Apr,5-May,5-May,,2:49:32,NA,,,,,,,
25,SGT,11B,2BCT,2-87 HHC,NOGO,GO,58/60,75/75,43:42/37:40,GO,GO,5-May,5-May,5-May,,NOGO,2:51:16,,,,,,,"4187, Course Enrollment"
28,SPC,11B,2BCT,2-87 A Co.,NOGO,GO,53/59,74/73,31:11/29:22,GO,GO,5-May,5-May,5-May,,2:57:33,NA,,,,,,,"4187, Course Enrollment"
30,2LT,11A ,1BCT,7TH EN BN,GO,NA,61,73,13:43,GO,GO,5-May,5-May,5-Apr,,2:57:17,NA,,,,,,,"Sponsorsheet,4187, Course Enrollment"
34,SPC,11B,2BCT,2-87 HHC,GO,NA,57,70,12:42,GO,GO,5-Apr,5-Mar,5-May,,2:58:11,NA,,,,,,,"4187, Course Enrollment"
37,1LT,11A ,2BCT,4-31 C Co.,GO,NA,58,77,15:31,GO,GO,5-May,5-May,5-Apr,,2:57:50,NA,,,,,,,
39,SGT,88M,2BCT,2-87 I Co.,GO,NA,58,70,10:37,GO,GO,5-May,5-Apr,5-Apr,,NOGO,2:50:06,,,,,,,"Physical,4187, Course Enrollment"
45,PFC,11B,2BCT,2-14 INF C Co.,NOGO,GO,52/57,61/66,39:58/38:12,GO,GO,5-Apr,5-May,5-May,,NOGO,2:51:18,,,,,,,"Memo,4187, Course Enrollment"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
5,SSG,11B,2BCT,1-89CAV A TRP,NOGO,NOGO,40/45,60/65,39:02/37:38,GO,GO,5-May,5-May,5-May,,NOGO,2:42:55,,,,,Failed both RPFT's,,
