RN#,MI,RANK,GENDER,MOS,BDE,BN,UIC,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,L/N 3,12 MILE,12 MILE RETEST,Paperwork,ADMIN,
2,D,SGT,M,11B,2BCT,14-Feb,,GO,,64,73,37:00:00,GO,GO,5-May,5-Mar,5-Mar,,,GO,Walk-On,
4,J,1LT,M,11A,2BCT,14-Feb,,NO GO,GO,53,68,36:38:00,GO,GO,5-Apr,5-Feb,5-Apr,,,GO,ATRRS Reserved,
6,P,SSG,M,11B,3BCT,4-Feb,,GO ,,58,67,38:57:00,GO,GO,5-Apr,5-Apr,5-Feb,,,GO,Walk-On,
8,T,2LT,M,12A,1BCT,7th ENG,,GO,,72,84,35:30:00,GO,GO,5-Apr,5-Apr,5-Apr,,,GO,ATRRS Reserved,
14,W,SPC,M,11B,3BCT,4-Feb,,NO GO,GO,49,50,36:41:00,GO,GO,0/5,5-Apr,5-May,,,GO,Walk-On,
16,R,SGT,M,11B,1BCT,Jan-32,,NO GO ,GO,59,65,34:49:00,GO,GO,5-Apr,5-May,5-Apr,,,GO,ATRRS Reserved,
18,R,SPC,M,11B,2BCT,Feb-87,,NO GO,GO,60,63,38:15:00,GO,GO,5-Feb,5-Apr,0/5,,,GO,ATRRS Reserved,
20,,SPC,M,11B,2BCT,Feb-87,,NO GO,GO,60,54,38:50:00,GO,GO,0/5,5-Mar,5-May,,,GO,ATRRS Reserved,
21,D,SGT,M,11B,1BCT,Jan-32,,GO,,60,67,37:15:00,GO,GO,5-Feb,5-Apr,5-May,,,GO,ATRRS Reserved,
26,MI,2LT,M,12A,1BCT,7th ENG,,NO GO,GO,56,69,37:52:00,GO,GO,5-Apr,5-Feb,5-Apr,,,GO,ATRRS Reserved,
33,C,PFC,M,11B,10th CAB,10-Feb,,GO,,58,69,37:27:00,GO,GO,5-Feb,5-Apr,5-Apr,,,GO,Walk-On,
35,T,1LT,M,11A,2BCT,Feb-87,,GO,,60,84,36:44:00,GO,GO,0/5,5-Apr,5-Apr,,,GO,ATRRS Reserved,
,,,,,,,,GO,,59,80,38,GO,,,,,,,,,
1,A,SPC,M,11B,1BCT,Jan-32,,GO,,68,80,37:45:00,GO,GO,5-Apr,5-Apr,5-Apr,NO GO,,GO,ATRRS Reserved,
5,T,PFC,M,11B,10th CAB,10-Feb,,GO,,60,80,35:29:00,GO,NOGO,0/5,5-Apr,5-Feb,,,GO,Walk-On,
10,E,PFC,M,11B,2BCT,Feb-87,,GO,,58,73,37:00:00,GO,NOGO,0/5,5-Jan,5-Apr,,,GO,ATRRS Reserved,
36,,SGT,M,13B,3BCT,25-May,,,GO,66,71,36:35:00,,GO,0/5,0/5,5-Feb,,,GO,ATRRS Reserved,
13,,SGT,M,13B,3BCT,5-25 FAR,,GO,,65,66,37:24:00,GO,GO,0/5,5-Apr,5-Feb,NO GO,,GO,Walk-On,
24,Y,SSG,M,11B,2BCT,Jan-89,,NO GO,NO GO,45,56,38:50:00,GO,GO,0/5,5-Apr,5-Apr,,,GO,ATRRS Reserved,
25,,SPC,M,11B,2BCT,Feb-87,,NO GO ,NO GO,45,69,38:42:00,GO,NOGO,5-Apr,5-Mar,5-Apr,,,GO,ATRRS Reserved,
28,S,SFC,M,11B,2BCT,Feb-87,,NO GO,GO,32,38,38:20:00,GO,GO,5-Jan,5-Feb,5-Apr,NO GO,,GO,ATRRS Reserved,
29,J,2LT,M,11A,2BCT,Feb-87,,NO GO,NO GO,49,83,34:20:00,GO,GO,5-Feb,5-Apr,5-Apr,,,GO,ATRRS Reserved,
,,,,,,,,,,,,,,,,,,,,,,
30,A,SPC,M,11B,3BCT,Feb-30,,GO,,69,86,36:57:00,GO,GO,0/5,0/5,5-Apr,,,GO,Walk-On,
34,T,SPC,M,11B,1BCT,Jan-32,,GO,,64,79,38:30:00,GO,GO,5-Feb,5-Feb,5-Feb,,,GO,MED DROP,
7,E,SGT,M,13F,1BCT,3-6 FA,,NO GO,,58,51,37:34:00,GO,GO,5-Mar,5-Mar,5-Apr,,,GO,MED DROP,
12,S,SPC,M,11B,1BCT,Jan-32,,NO GO,,44,69,41:45:00,GO,GO,5-Jan,5-Mar,5-Apr,,,GO,MED DROP,.
19,D,SGT,M,11B,2BCT,14-Feb,,GO,,68,68,36:30:00,GO,GO,5-Apr,5-Apr,,,,GO,MED DROP: Shin Contusion,
23,m,PFC,M,11B,1BCT,Jan-87,,GO,,65,74,36:30:00,GO,GO,5-Mar,5-Apr,,,,GO,MED DROP: Prior Knee Injury,
27,B,PFC,M,11B,3BCT,4-Feb,,NO GO,,48,83,38:42:00,GO,GO,0/5,,,,,GO,SOR Drop: Sleeing on Land Nav,
,,SSG,M,91B,3BCT,25-May,,,,,,,,,,,,,,,MED DROP,
