PRE-RANGER TRACKER,,,,,,,,,,,,,,,,,,,,,,
RN#,MI,RANK,GENDER,MOS,BDE,BN,UIC,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,L/N 3,12 MILE,12 MILE RETEST,Paperwork,RPFT RT,RECOMMEND
[$-409]01-Jan-00,E,2LT,M,11A,3rd,Mar-89,,fail,pass,57,75,40:30:00,6,fail,0-5,5-Feb,5-Mar,NO GO,NO GO,,"rpft rt: p/u:58, s/u: 80, run:35:36, p/u: 6",
[$-409]02-Jan-00,D,SPC,M,35F,2nd,14-Feb,,pass,,60,79,39:52:00,6,,5-Mar,5-Apr,5-Jan,NO GO,NO GO,,,
[$-409]03-Jan-00,M,PVT,M,11B,2nd,Feb-87,,fail,fail,58,65,37:55:00,6,,0-5,0-5,time,NO GO,2:53:45,,"rpft rt: p/u:59, s/u: 63, run:37:55, p/u: 6",
[$-409]04-Jan-00,T,2LT,M,11A,2nd,Feb-87,,pass,,70,81,35:16:00,6,,5-Apr,5-Jan,5-May,2:56:50,,,,RECOMMEND
[$-409]05-Jan-00,A,SGT,M,13F,2nd,Jan-89,,fail,fail,67,62,41:40:00,6,,5-Apr,5-Mar,5-Jan,NO GO,NO GO,,"rpft rt: p/u: 74, s/u: 63, run: 41:01, p/u: 6",
[$-409]06-Jan-00,D,SPC,M,11B,2nd,Feb-87,,fail,fail,57,62,42:10:00,6,fail,5-Jan,0-5,5-Feb,NO GO,NO GO,,"rpft rt: p/u: 59 s/u: 64, run: 39:22, p/u: 6",
[$-409]07-Jan-00,Y,SPC,M,11B,1st,Jan-32,,fail,fail,65,65,39:55:00,6,,5-Mar,5-Apr,5-Jan,NO GO,2:55:07,,"rpft rt: p/u: 53, s/u: 66, run:38:27, p/u: 6",
[$-409]10-Jan-00,S,SGT,M,11B,2nd,10-Mar,,fail,fail,56,64,38:02:00,6,,5-Mar,4-5 time,5-Apr,NO GO,2:52:00,,"rpft rt: p/u: 54, s/u: 66 run:37:02, p/u: 6",
[$-409]11-Jan-00,M,2LT,M,11A,2nd,Feb-87,,fail,fail,49,79,39:23:00,6,,5-Feb,5-Feb,5-Apr,NO GO,2:55:07,,"rpft rt: p/u: 51, s/u: 73, run: 36:24, p/u: 6",
[$-409]12-Jan-00,A,SSG,M,91B,3nd,Feb-30,,pass,,57,72,38:06:00,6,,5-Jan,5-Feb,5-Apr,NO GO,2:57:15,,,RECOMMEND
