PRE-RANGER TRACKER,,,,,,,,,,,,,,,,,,,,,,
RN#,MI,RANK,GENDER,MOS,BDE,BN,UIC,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,12 MILE,12 MILE RETEST,Paperwork,RPFT RT,RECOMMEND,                REMARKS
1,l,CPL,m,19D,2BCT,1-89 CAV,,FAIL,PASS,42,71,35:40:00,6,,5-Mar,5-Apr,NO-GO,,,PU:59 SU:69 RUN:35:20,,
2,C,SPC,M,13B,3BCT,5-25FA,,FAIL,FAIL,57,72,41:08:00,6,,2/5 time,0/5,NO-GO,,,PU:60 SU:70 RUN:44:25,,
3,J,1LT,M,11A,3 BCT,2-4 INF,,PASS,,59,79,38:25:00,6,,5-Feb,5-Apr,2:59,,,,,
6,L,PFC,M,11B,1BCT,2-22 INF,,PASS,,57,78,36:25:00,6,,0/5,5-Feb,NO-GO,,,,,
7,A,PFC,M,11B,1 BCT,1-32 INF,,FAIL,FAIL,57,50,35:55:00,6,,0/5,0/5,NO-GO,,,PU:61 SU:63 RUN:41:27,,
8,T,CPT,M,11A,3BCT,2-4 INF,,FAIL,FAIL,51,62,DNF,6,,5-Feb,5-May,NO-GO,,,PU:50 SU: 66 RUM:DNF,,
9,M,PV2,M,11B,2BCT,2-87 INF,,FAIL,FAIL,52,73,40:22:00,6,,0/5,0/5,NO-GO,,,PU:58 SU:66 RUN:38:34,,
10,J,PV2,M,11B,2 BCT,2-87 INF,,PASS,,59,85,37:56:00,6,,5-Mar,5-Apr,NO-GO,,,,,
12,,SGT,M,11B,1BCT,1-32 INF,,PASS,,57,75,39:52:00,6,,5-Apr,5-Mar,NO-GO,,,,,
13,L,CPL,M,19D,1BCT,3-71 CAV,,PASS,,70,83,33:00:00,6,,5-Apr,5-Apr,2:58,,,,,
14,,PVT,M,11B,1 BCT,2-22 INF,,FAIL,FAIL,51,56,43:24:00,6,NO-GO,0/5,0/5,2:57 missing items,,,PU:62 SU:54 RUN:41:57,,
15,M,SPC,M,35F,1 BCT,2-22 INF,,PASS,,58,70,38:25:00,6,,5-Feb,0/5,NO-GO,,,,,
16,I,SPC,M,11C,1BCT,3-71 CAV,,FAIL,FAIL,43,73,39:40:00,6,,5-Feb,5-Mar,NO-GO,,,PU:54 SU: 67 RUN: 38:17,,
19,R,2LT,M,12A,1BCT,7th EN,,PASS,,64,78,35:59:00,6,,5-Feb,5-Apr,NO-GO,,,,,
23,M,SSG,M,88M,10th SUST,91st MP,,FAIL,PASS,50,78,35:55:00,6,,0/5,5-Apr,NO-GO,,,PU: 63 SU:73 RUN:37:35,,
26,E,SPC,M,11C,1BCT,1-32 in,,FAIL,FAIL,56,61,39:05:00,6,,0/5,5-Mar,NO-GO,,,PU:54 SU: 61 RUN:40:11,,
27,P,SPC,M,15F,10CAB,277th,,PASS,,61,75,37:12:00,6,,0/5,0/5,NO-GO,,,,,
28,B,SGT,M,11B,1 BCT,1-87 INF,,PASS,,57,83,35:23:00,6,,5-Apr,5-Apr,NO-GO,,,,,
30,A,PFC,M,11B,2BCT,2-30 INF,,FAIL,PASS,60,61,37:00:00,6,,5-Jan,0/5,NO-GO,,,PU:59 RUN:72 RUN:37:14,,
31,B,SGT,M,11B,3BCT,2-4 INF,,FAIL,PASS,51,75,38:23:00,6,,0/5,0/5,NO-GO,,,PU:56 SU:76 RUN:37:35,,
32,J,PFC,M,11B,2BCT,2-87 INF,,PASS,,58,75,38:16:00,6,,5-Mar,0/5,NO-GO,,,,,
34,D,SSG,M,11B,2BCT,2-87 INF,,FAIL,FAIL,64,72,40:55:00,6,,5-Apr,5-Apr,NO-GO,,,PU:67 SU:70 RUN:40:11,,
35,M,SSG,M,11B,2 BCT ,2-87 INF,,PASS,,58,83,39:09:00,6,,5-Apr,5-Apr,NO-GO,,,,,
37,E,PFC,m,11b,1BCT,1-87 INF,,PASS,,57,73,35:41:00,6,,5-Apr,5-Apr,2:50,,,,,
39,A,SPC,M,11B,2BCT,2-87 INF,,PASS,,70,75,39:40:00,6,,5-Feb,5-Jan,NO-GO,,,,,
43,K,PV2,M,89A,3RD BCT,7/10 BSB,,PASS,,64,74,35:02:00,6,NO-GO,0/5,0/5,NO-GO,,,,,
